Store Number,Store Name
4313,Fareway Stores #940 / Atlantic
4314,Nodaway Valley Market
4315,Fareway Stores #554 / Washington
4317,Fareway Stores #941 / Greenfield
4318,Fareway Stores #841 / Red Oak
4319,Fareway Stores #703 / Humbolt
4320,Fareway Stores #470 / Perry
4321,Fareway Stores #501 / Charles City
4322,Hometown Foods / Baxter
4323,Liquor And Tobacco Outlet
4324,Dayton Community Grocery
4325,Villisca Foods Inc.
4326,Stratford Food Center
4327,Quick Mart / Hiawatha
4328,Jr's On The Rocks
4329,Super Stop Ii / Altoona
4330,Ryan's Quick Shop
4331,Moore's Foods
4332,Fast Mart / University Ave
4333,Liquorama
4334,Fareway Stores #114 / Dubuque
4335,The Bottle Shop / Inwood
4336,Last Call 2
4337,Grand Falls Casino Resort
4338,Randhawa's Travel Center
4340,Dahl's Foods / Ames
4341,Mj's Grocery
4343,Best Food Mart / Des Moines
4344,Spirits / Grimes
4345,Lucky Mart
4346,Roy's Foodland
4347,Jeff's Market / Blue Grass
4348,Jeff's Market / Wilton
4349,Southside Food Mart
4350,Kum & Go #703 / Marshalltown
4351,Kum & Go #301 / Clear Lake
4352,Kum & Go #501 / Creston
4353,Kum & Go #302 / Clear Lake
4354,Kum & Go #4205 / Shenandoah
4355,Kum & Go #124 / Story City
4356,Kum & Go #396 / Nevada
4357,Kum & Go #125 / Story City
4358,Kum & Go #553 / Clarion
4359,Kum & Go #75 / Waukee
4360,Kum & Go #333 / Newton
4361,Quik Trip #538 / NW 2nd / DSM
4362,Kum & Go #135 / Polk City
4363,Kum & Go #33 / Osceola
4364,Kum & Go #22 / Grinnell
4365,Kum & Go #222 / West St Grinnell
4366,Kum & Go #137 / Tiffin
4367,Kum & Go #109 / Mason City
4368,Kum & Go #570 / Johnston
4369,Kum & Go #28 / Norwalk
4370,Kum & Go #240 / North Ave Norwalk
4371,Kum & Go #50 / West Des Moines
4372,Kum & Go #404 / Mason City
